北京汉丽轩自助烤肉火锅超市(香港城店),0391-3127177,解放区解放中路香港城四楼
悠然酒店,0377-63710777/63710888,卧龙区中州路与工业路交汇处北100米路西（联通营业厅楼上）
锦辉商务酒店,0377-66891999/66895999,宛城区张衡路与独山大道店交叉口向南200米路东（北段）
七十二潭景区,0377-67359777,方城县杨集乡大河口
南阳府衙,0377-63232861/61381235,宛城区民主街100号
世纪星连锁都市易家酒店,0377-83818777,邓州市穰城路与人民路交叉口向南200米路东
白金瀚宫商务酒店,0377-62269996,卧龙区独山大道与信臣路交叉口东200米路北
花语轩分时酒店,0377-66005000/66005111,宛城区张衡中路房产局对面（张衡路与工农路交叉口向东100米路南）
老界岭旅游度假风景区,0377-69915766,西峡县S311国道太平镇东平村
丹江大观苑,0377-62005666,淅川县马蹬镇石桥村
南阳市五朵山旅游景区,0377-63596796/66866999,南召县四棵树乡
七峰山生态旅游区,0377-67358999/67358826,方城县杨集乡大河口村
月季博览园,0377-63908888,卧龙区孔明北路月季博览园内（鸟巢体育馆向北）
内乡县衙博物馆,0377-65333488/65332488,内乡县县衙东路88号
桐柏山淮源风景名胜区,0377-68186688,桐柏县城关镇淮源大道135号
南阳龙潭沟,0377-69921252,西峡县双龙镇化山村
花洲书院,0377-62965586,邓州市人民路东段114号附近
伏牛地下河景区,0377-69925888,西峡县双龙镇小水村
宝天曼生态旅游区,0377-65065555,内乡县下关镇葛条爬村
南阳卧龙岗武侯祠,0377-63512907,卧龙区卧龙路766号卧龙岗
八仙洞景区,0377-69582828/69582626,淅川县马蹬镇余沟村（丹江大观苑、坐禅谷、香严寺、渠首）
暴瀑峡,0377-66866569,南召县四棵树乡五朵山景区内
老君洞旅游度假区,0377-69777788/59936716,西峡县二郎坪镇大庙村
丹江孔雀谷,18837756698,淅川县上集镇周园村
五道幢,0377-69939198,西峡县双龙镇化山村西峡五道幢景区
老界岭农庄17号,18272752147,西峡县太平镇东坪村17号老界岭风景区内
莲花温泉国际旅游度假区水上宾馆,0377-66666666,南召县皇路店镇莲花温泉国际旅游度假区内（鸭河大桥南头）
香严寺景区,0377-69386666,淅川县仓房镇
AAA假日宾馆,18538455888,西峡县312国道与八丹线交叉口西南50米（西峡恐龙遗迹园西150米）
宝天曼峡谷漂流,0377-65157888,内乡县大龙村
云露山风景区,13503459597,内乡县马山口镇石庙村
界岭山庄67号,18537368185,西峡县太平镇东坪村
鸿宇阁宾馆,13693861006,西峡县双龙镇化山村华山小学北100米
老君洞假日酒店,0377-60101888,西峡县二郎坪镇大庙村（西峡老君洞景区）
界岭农庄15号,15937722527,西峡县老界岭风景区大门口向北100米
西峡银树沟,18603779309/13271358966,西峡县二郎坪镇栗平村
西峡县新如家宾馆,18317208082,西峡县312国道菊潭大桥东行100米路西
南召莲花温泉,0377-66666666,南召县皇路店镇温泉路（近鸭河）莲花中医院旁
中原二龙山风景区,0377-60326999/60326888/60326777,内乡县板厂乡让河村
坐禅谷,0377-69385959,淅川县仓房镇坐禅谷
水帘洞,0377-68267388,桐柏县水濂路
南阳南召白河漂流,0377-2600299/13333916863,南召县站前路大丰和商城西门面72B佳和旅行社（火车站出站口）
南召大宝天曼度假区,0377-62031888/63199321,南召县乔端镇玉藏村与藏六队
云华蝙蝠洞,13703412726,西峡县县城西三公里
赊店古镇,0377-67921873/67883366/13723015396/15738082918,社旗县赊店镇永庆街9号
糖果屋国际摄影,0377-60555016/18697775225,卧龙区百里奚路与麒麟路交叉口向西100米路南（外运小区临街2楼）
我的童话儿童乐园,13333678800,宛城区汉冶东路儒林商都B区儒林文华苑西门二楼
生态草莓采摘园,13838776350/18937795388,宛城区长江东路金拇指实验学校正对面
小乖乖创意儿童摄影馆,13523775688,宛城区南新路口向南100米路东
哈尼贝贝儿童摄影,0377-63286663/16638770177,宛城区张衡路市政管理处二楼东
天使传说3D儿童摄影馆,18203774430/18736656945,卧龙区北京大道南段清华园商铺（邮政储蓄二楼）
蓝丝带产后恢复中心(张衡路店),0377-62223866/18638956057,宛城区张衡路市政管理处门面房三楼（公安大厦对面）
凯文摄影工作室,17634615339/15839950733,卧龙区建设路文化路交叉口盛世龙源8号楼1202室
嘉禾映像亲子儿童摄影工作室,18625691257,卧龙区文化路与八一路交叉口银基美食街走到头左拐6号楼1109
爱baby家庭影像记录,400-030-3096-03766,卧龙区中州路与工业路交叉口向西66米路北
大树小树私人定制亲子摄影,18637778703,宛城区人民北路与光武路交叉口向北100米路东
南阳贝福特孕味儿童摄影会所,0377-66180088/18338350952,宛城区光武中路仲景路交叉口向西200米路南山水中央综合楼5楼
童颜baby儿童影像,15539986216,宛城区孔明南路建业凯旋广场一号楼二单元1401
Seven Face高端定制儿童摄影馆,17550311119,宛城区滨河路与独山大道交叉口向东100米（三川盛唐商务苑内，近树熊咖啡、青一色火锅）
摩豆亲子儿童摄影,18003779494/15303778885,宛城区独山大道孔明路建业凯旋广场SOHO-B座（18号楼301室）
贝乐乐高机器人俱乐部(七一路中心),17837797508,卧龙区七一路与梅溪路交叉口广电大厦三楼（贝乐机器人俱乐部）
美丽妈妈产后恢复健康管理中心,0377-60795888,宛城区孔明南路建业凯旋广场20号楼B座2层
南阳市维熙儿童摄影工作室,0377-60883900,宛城区孔明路建业凯旋广场20号楼710室
宝贝总动员Hibaby专业儿童摄影,0377-63133999/18538986578,卧龙区南阳市卧龙区车站南路588号岗东村口（卫校路口往南300米路西，南阳医专第一附属医院）
蓝丝带产后恢复中心(孔明路店),0377-61611666/18638956057,宛城区独山大道和孔明路交叉口东北角汉景苑门面房四楼
佑贝月子会所,0377-63228666/18623999117,卧龙区信臣路独山大道交叉口中州国际饭店6楼
优爱宠物,15603770073,宛城区伏牛路广播电台对面
三千宠爱宠物美容,18624780916,卧龙区车站南路中达明?新城E区4号商铺
悦宠宠美工作室,13937736027,宛城区孔明南路建业凯旋广场18号楼1003室
宠康动物医院(中州路店),0377-67079120,宛城区中州路与河街口交口西200米路北
新富汽修一站式服务,13837761623,邓州市东一环御花园小区南门东50米
车瑞景汽车贴膜美容中心,17639938163,宛城区张衡路与仲景路交叉口北350米路东夸美未来幼儿园楼下
十年汽车养护中心,13673897879,卧龙区工业路与光武路交叉口南20米白癜风医院南隔墙大官庄巷内30米
丽水车影汽车美容主题馆,13503905010/18623997168,卧龙区北京路与卧龙路交叉口向南150米路东南方家园区间道（师院 南方家园）
金尊车管家,0377-63216688,宛城区汉冶东路儒林商都C区11栋101号（新市政府，独山大道，儒林，华鑫苑，二十四小，鸿源小区）
小丁汽车美容装饰,15938828036,宛城区九龙路1号
糖果屋国际摄影,0377-60555016/18697775225,卧龙区百里奚路与麒麟路交叉口向西100米路南（外运小区临街2楼）
小乖乖创意儿童摄影馆,13523775688,宛城区南新路口向南100米路东
哈尼贝贝儿童摄影,0377-63286663/16638770177,宛城区张衡路市政管理处二楼东
天使传说3D儿童摄影馆,18203774430/18736656945,卧龙区北京大道南段清华园商铺（邮政储蓄二楼）
杰森摄影工作室,13262004685,卧龙区建设中路盛世龙源东区西门6号楼1703室（建设中路与文化路交叉口）
凯文摄影工作室,17634615339/15839950733,卧龙区建设路文化路交叉口盛世龙源8号楼1202室
嘉禾映像亲子儿童摄影工作室,18625691257,卧龙区文化路与八一路交叉口银基美食街走到头左拐6号楼1109
爱baby家庭影像记录,400-030-3096-03766,卧龙区中州路与工业路交叉口向西66米路北
大树小树私人定制亲子摄影,18637778703,宛城区人民北路与光武路交叉口向北100米路东
南阳贝福特孕味儿童摄影会所,0377-66180088/18338350952,宛城区光武中路仲景路交叉口向西200米路南山水中央综合楼5楼
云端独立摄影工作室,0377-63483999/13203797521,卧龙区卧龙路农校对面（王府烤鸭西隔壁二楼）
童颜baby儿童影像,15539986216,宛城区孔明南路建业凯旋广场一号楼二单元1401
纽约纽约婚纱摄影,15565774289/15037750852,卧龙区人民路粮食局楼下175号AA【网络定制服务，来店请先预约】
Seven Face高端定制儿童摄影馆,17550311119,宛城区滨河路与独山大道交叉口向东100米（三川盛唐商务苑内，近树熊咖啡、青一色火锅）
摩豆亲子儿童摄影,18003779494/15303778885,宛城区独山大道孔明路建业凯旋广场SOHO-B座（18号楼301室）
南阳市维熙儿童摄影工作室,0377-60883900,宛城区孔明路建业凯旋广场20号楼710室
画里拾光摄影馆,18625613352/18738703931,宛城区中州东路帝苑花园3号楼2单元502室
南阳老麦摄影-私人定制,400-090-8610-388369,宛城区人民路府衙西小吃街中段二楼
宝贝总动员Hibaby专业儿童摄影,0377-63133999/18538986578,卧龙区南阳市卧龙区车站南路588号岗东村口（卫校路口往南300米路西，南阳医专第一附属医院）
苏菲亚婚纱摄影,13083772600/13949391629,卧龙区人民路175号粮业大厦楼下（天桥南200米）
乐拍,400-090-8610-389057,卧龙区人民南路鸿德步行街鸿德花园4号楼2单元3楼（中心广场中国银行门口小区入口左转）
凤凰婚纱摄影,400-090-8610-378275,宛城区长江路理工学院西300米路南
伯爵影像婚纱摄影,15688116356,卧龙区车站北路翰林华府6号楼8楼801
禾美珍妮花(明星定制)婚纱摄影,13538288014,卧龙区新华西路161号（来店前请提前电联）
?摄影,16637767177/15237777432,宛城区孔明南路建业凯旋广场20号楼707室
一视觉婚纱摄影创作店,13419935934/15936412388,卧龙区人民南路中心广场2楼（大统百货对面鸿德花园）
云沫婚纱摄影工作室,400-090-8610-232817,宛城区孔明南路建业凯旋广场B座20号楼515
施华骆婚纱摄影,400-090-8610-397712,卧龙区新华西路85号天桥向西50米路南
梵.古中国风婚纱摄影,400-090-8610-123264,唐河县建设路和美步行街三楼梵古婚纱摄影（万德隆三店东门）
南阳唯爱婚纱国际影城,400-090-8610-231774,卧龙区中州中路666号中国民生银行隔壁（金马特）
薇薇新娘婚纱摄影(社旗店),400-090-8610-285203,社旗县北京路万德隆斜对面
唯一婚纱(镇平店),17550311119,镇平县涅阳路锦汇广场
天长地久婚纱摄影,400-026-8920-7232,宛城区新华路584号，新华路与解放路交叉路口向西10米路南
唯一视觉(邓州店),0377-67022000/15083352668,邓州市花洲街道新华路与文化路交叉口向南100米
尚品上花轿婚纱摄影,15660658889,邓州市文化路与仲景路交叉口南行40米路西
亚丹婚纱摄影(建设东路店),400-090-8610-132003,西峡县建设东路建设银行东20米
最爱婚纱摄影铂爵馆(唐河县店),17550311119,唐河县建设路中段金源酒店东168米
IDO梦想艺术培训中心,0377-60377337/15539926339,宛城区建设中路新田360广场12号楼1单元701
心连心琴行,13703778828,西峡县北大街与桃园路交叉口东南100米
星颖艺术,15136668669,卧龙区中州西路祥和嘉苑通和购物广场三楼
星乐吉他俱乐部,15203810526,宛城区光武路与仲景路交叉口向西400米路南山水中央四楼
南阳棒棒贝贝乐高科技中心,0377-61671666/18538969566,卧龙区七一路与梅溪路交叉口广电大厦二楼
锦正弘武跆拳道馆,13838766912,宛城区长江西路伊品斋宾馆楼下
入境手作?手工DIY,15225613873,卧龙区南阳师范学院里面西区众创空间二楼
南阳佳天下装饰工程有限公司,400-179-4562,宛城区南阳宛城区仲景北路恒方广场
山水装饰,15138625058,宛城区范蠡路与明山路口丽康花园5#2单元2102室
勤海木地板,13723020598,卧龙区人民北路小王庄建材市场
釉宝涂料专卖店,0377-63668883/13193676101,卧龙区百里奚南路荣昌陶瓷城3号楼一楼大厅
云端独立摄影工作室,0377-63483999/13203797521,卧龙区卧龙路农校对面（王府烤鸭西隔壁二楼）
纽约纽约婚纱摄影,15565774289/15037750852,卧龙区人民路粮食局楼下175号AA【网络定制服务，来店请先预约】
画里拾光摄影馆,18625613352/18738703931,宛城区中州东路帝苑花园3号楼2单元502室
南阳老麦摄影-私人定制,400-090-8610-388369,宛城区人民路府衙西小吃街中段二楼
苏菲亚婚纱摄影,13083772600/13949391629,卧龙区人民路175号粮业大厦楼下（天桥南200米）
乐拍,400-090-8610-389057,卧龙区人民南路鸿德步行街鸿德花园4号楼2单元3楼（中心广场中国银行门口小区入口左转）
凤凰婚纱摄影,400-090-8610-378275,宛城区长江路理工学院西300米路南
伯爵影像婚纱摄影,15688116356,卧龙区车站北路翰林华府6号楼8楼801
禾美珍妮花(明星定制)婚纱摄影,13538288014,卧龙区新华西路161号（来店前请提前电联）
?摄影,16637767177/15237777432,宛城区孔明南路建业凯旋广场20号楼707室
一视觉婚纱摄影创作店,13419935934/15936412388,卧龙区人民南路中心广场2楼（大统百货对面鸿德花园）
云沫婚纱摄影工作室,400-090-8610-232817,宛城区孔明南路建业凯旋广场B座20号楼515
赫拉嫁衣【高级定制】造型礼服馆,15838082735,卧龙区新华西路文化馆楼下
施华骆婚纱摄影,400-090-8610-397712,卧龙区新华西路85号天桥向西50米路南
爱诺国际婚纱馆,0377-63225200/15539979768,卧龙区新华路天桥西150米路南
梵.古中国风婚纱摄影,400-090-8610-123264,唐河县建设路和美步行街三楼梵古婚纱摄影（万德隆三店东门）
南阳唯爱婚纱国际影城,400-090-8610-231774,卧龙区中州中路666号中国民生银行隔壁（金马特）
薇薇新娘婚纱摄影(社旗店),400-090-8610-285203,社旗县北京路万德隆斜对面
唯一婚纱(镇平店),17550311119,镇平县涅阳路锦汇广场
天长地久婚纱摄影,400-026-8920-7232,宛城区新华路584号，新华路与解放路交叉路口向西10米路南
唯一视觉(邓州店),0377-67022000/15083352668,邓州市花洲街道新华路与文化路交叉口向南100米
美人季婚纱,400-090-8610-128159,卧龙区人民路175号（粮业大厦）
尚品上花轿婚纱摄影,15660658889,邓州市文化路与仲景路交叉口南行40米路西
邦壹租车(滨河路总店),0377-61380058/18697772886,卧龙区滨河路216号锦江公寓门口东侧
亚丹婚纱摄影(建设东路店),400-090-8610-132003,西峡县建设东路建设银行东20米
最爱婚纱摄影铂爵馆(唐河县店),17550311119,唐河县建设路中段金源酒店东168米
唯美口腔诊所,0377-63167878,宛城区天山路都市春天一楼门面（范蠡路与仲景路交叉口向西300米路南，星光中学斜对面）
小白洋牙科(华鑫苑店),13938996603,宛城区独山大道华鑫苑南门（近食品商贸城东门）
康泽口腔连锁,0377-83996120/13837733427,卧龙区七一路与工业路交叉口向西100米路北（中国银行对面）
南阳卓尔口腔,0377-66999666,宛城区仲景大桥南头万正广场3号楼2楼
地质医院,0377-63639393,宛城区宛长江路与华山路交叉口西北角
邓州兴业口腔,0377-62288120/15670667366,邓州市中州大道与团结路交叉口同华国际广场面西商铺三楼（东一环）
嘉艺口腔,0377-60662728,宛城区孔明南路鑫泰嘉园楼下（一高南500米路西）
妇幼保健院北区口腔科(宛城区分院),13938996603/18603771138,宛城区仲景路与范蠡路交叉口南130米向西100米（宛城计生指导站院内）
万超口腔(方城店),0377-67253333,方城县裕州北路妇幼保健院向北300米路西
康泽口腔连锁(人民路店),0377-60577120/13837733427,宛城区人民路与汉冶路交口北200米路东万德隆电器服饰广场
佳客来牛排专家(新师院店),0370-2227775,梁园区团结路与平原路交叉口向东100米路南（新师院东100米）
北京汉丽轩烤肉自助餐厅(金博大店),0370-2718688,永城市欧亚路金博大广场4楼东南角
意茉披萨(夏邑店),18037068115,夏邑县县府西路宏佰商场西门对过
牛太郎自助烤肉(商字店),0370-5639997/5639997,睢阳区神火大道与南京路交叉口西北角
佳客来牛排专家,0370-2227753,梁园区民主路与向阳路交叉口北50米旺角步行街东头二楼
三鼎记(香君路店),17719969267/15090658996,睢阳区凯旋路与香君路交叉口向东100米路北
秦妈火锅(神火大道店),0370-2265088,睢阳区神火大道与南京路交叉口向北88米路东
韩风源烧烤涮自助餐厅(永城店),0370-5670888,永城市雪枫路与铁南西路交口路西
复古披萨屋(虞城店),18638404169,虞城县人民路与小学路交叉口西南角
澈思蛋糕烘焙工坊,17839017501,梁园区团结路与归德路交叉口西行300米路北（月轩网络旁边）
喜虾客?虾火锅(沃尔玛店),15737077020,梁园区民主路沃尔玛四楼
傣妹火锅(商丘金地广场店),0370-2255992,梁园区民主中路金地广场2楼和3楼（东方宾馆南对面）
张三哥金钱麻辣爆肚,15839091342/18003918014,柘城县文庙北街万家乐东门向东50米路北
纽约客(光明路店),0370-5111211,永城市光明路天然居楼下（菊花小区对面）
韩风源烧烤涮自助餐厅(鼎火直营店),0370-2946666,睢阳区神火大道与南京路交叉口向西100米路北
漫餐,0370-3861777,睢阳区神火大道与南京路交叉口西300米路南（一楼）
金桥缘米线,0370-2707656,睢阳区南京路丹尼斯左边15米
三米寿司,13353600323,梁园区民主路与平原路交口向西200米路南（新师院北门）
百味郭豆腐脑(珠江路店),13803707852,睢阳区珠江西路市新城实验幼儿园对面（天博大药房隔壁）
徐记烤鱼(归德路店),15836811981,梁园区团结路与归德路交汇处北100米路西
米上煌寿司奶茶铺(百花街店),15517063234/15503889291,永城市百花街二区服装城东门进门第2家（百花街卖麻辣烫的）
漫餐烤鱼,0370-6978788,睢阳区神火大道与南京路交叉口向西500米路南（二楼）
赵记阿香婆,0370-2221925,梁园区民主路与凯旋中路交叉口东南角中环新生活广场3楼
老上海生煎,15836444566,梁园区新师范东门团结西路与平原路交口向东200米路南
老太婆摊摊面(开源路店),0370-2761006,永城市开源路义乌商贸城南门西侧
喜虾客(金博大店),15637017367,永城市欧亚路金博大广场四楼西观光梯口北侧
刘先生的肉肉(万达店),0370-6080676,睢阳区北海路与归德路交叉口万达广场4楼
美佳乐蛋糕(雪枫路店),15238535976,永城市雪枫路与铁北路交叉口向南20米路西
九锅一汤(沃尔玛店),0370-2553777,梁园区民主路沃尔玛四楼
意茉披萨(睢县老十字街店),13569309160,睢县老十字街金帝超市对面
美佳乐蛋糕(天香公园店),15225206007,永城市东方大道西头与牡丹路交叉口向南50米路东
哆咪寿司,15938319777,睢阳区北关安奇乐易超楼下（圣保罗大药房东侧，小蚂蚁对面）
有缘桥米线(香桥缘沃尔玛店),0370-2797665,梁园区凯旋路沃尔玛4楼
皇仕牛排自助(商丘店),0370-6976766,梁园区民主路沃尔玛二楼电梯出口处
意茉披萨(永兴店),15537068572,永城市永兴街与中原路交叉口向东150米路北永兴街355号（东城大酒店西20米路北）
小城故事咖啡酒吧(金地店),18037761313,梁园区步行街民主路交叉口向西50米路南（傣妹火锅向里10米，奥斯卡电影院旁）
五谷渔粉(新师范店),18639050619,梁园区团结路大学生文化广场A东8号
一鼎自助火锅(大润发总店),13273821936,梁园区归德路大润发负二楼停车场门口（归德路与团结路交叉口白云国际广场负二楼美食城）
小六过桥米线?总店(永兴店),15137061117,永城市中原路与永兴街交叉口东50米路南
麽麽蜜呀(老十字街店),15937072319,睢县建设路与民主路交叉口（老十字街路口）北路西（金帝电影城对面）
意茉披萨(一高店),18937068819,睢阳区归德路与宇航路向东150米路南
金牛座全自助牛排,0370-5156866,永城市芒砀路永兴街交叉口南80米路东
司麦奶茶,18639047161,睢阳区凯旋路与香君路交叉口南50米安奇乐易凯帝广场商业街
福瑞迪牛排自助,0370-5638887/15037065750,睢阳区神火大道与南京路交叉口西北角（商字西北角）
恩好栗子,18937025520/15136062279,永城市东城区名牌一条街与百花街交叉口路北
龙门花甲(步行街店),15256785997/13353607678,梁园区凯四街与步行街交叉口东20米路北（杨洋冷面斜对面）
罗宝西饼店(团结路旗舰店),0370-2855555,梁园区团结路与归德路交叉口向西100米路北（近安奇乐易）
老虎比萨(金博大店),0370-2766691,永城市欧亚路金博大广场一楼
四合烤饼,15664019686,梁园区神火大道与团结路交叉口向东20米路南
罗宝西饼店(二店),0370-3791222,睢阳区南京路与归德路交叉口向南150米路西
宗鑫蛋糕(水口路店),0370-8180606,睢县水口路中段路西麦德士旁
来御来三汁焖锅(金博大店),0370-4200000,永城市金博大购物广场四楼
游子老鸭粉丝馆(老师范店),15137073325,梁园区文化路老师院北门向东50米路北
雪莉莎(金博大店),0370-3039701,永城市欧亚路金博大一楼
小彬披萨(大润发店),15737078556/18530261881,梁园区团结路与归德路西南角（白云嘉悦商业广场负二层美食广场内）
德克士(百花店),0370-5187117,永城市东方大道与百花路交叉口
悦丽怡景西餐厅(金博大店),0370-2719877,永城市雪枫路与欧亚路交叉口金博大二楼东
方燕烤猪蹄,13598356838,民权县人民路一高正南288米路东（王英冰糖葫芦旁）
海上游子老鸭粉丝汤馆,13608400199,宁陵县城关镇永乐路大转盘南150米路西
酷比乐(道南店),0370-8607817,民权县车站南路道南城关二中南，豆奇量贩对面
麦瑞多,0370-2632993/15518681279,睢阳区神火大道与蓬莱路交叉口西南角
正新鸡排(大润发店),15672839860,梁园区团结路大润发北门对面（安奇乐易东30米，白云国际广场对面）
米薯无皮烤地瓜,18539791117,睢阳区归德路与香君路交叉口向西300米路北（老信阳私房菜旁）
麦加美(永城店),0370-5115038,永城市开源路与芒砀中路交叉口西北角（现代牙科北侧）
伊斯兰堡,0370-5058666,睢县民主路与文化路交叉口向北200米路西（深圳贸易广场）
尚上捞小火锅,18837016189,虞城县人民路好又多广场斜对面
华莱士炸鸡汉堡(虞城店),0370-4417666/13781497707,虞城县惠民路与人民路交叉口
贵哥卤肉卷,13462903266,永城市欧亚路金博大四楼西段西电梯口
华峰园艺术烘焙馆(大同路店),0370-4190600/15637036079,虞城县大同路与化工路交叉口西10米路南
雪莉莎(淮海店),0370-5211551,永城市老城淮海路与牌坊街交叉口向东20米路北
最高鸡密(工学院店),0370-3206611,梁园区睢阳大道与长江路交叉口向东500米路南
大脸鸡排(老师院店),13592316871,梁园区桂林路与文化路交叉口北50米路东
三米寿司(大同路店),15503850767,虞城县城关镇大同路与人民路交叉口西50米路南
湘缘木桶饭,0370-5036788/18348301112,睢县中心大街与威尼斯交叉口五号卫星湖
心圆蛋糕(中原店),0370-7235806,柘城县中原路步行街南头，农行对面
迪欧咖啡(南京路店),0370-2891777,梁园区南京路与中州路交叉口向东100米路南
樱桃里音乐餐厅,0370-3797666,睢阳区南京路与归德路交叉口向东约200米路北
米萝咖啡,0370-3018999,睢阳区南京路应天国际广场D栋商字向东150米
黑森林蛋糕(香君路店),0370-3778089,睢阳区凯旋路香君路交叉口东20米路南
大脸鸡排(火车站店),15993919832,民权县火车站广场东侧南海超市旁
悦宴海鲜烤肉音乐自助餐厅(沃尔玛店),0370-2085558/15993965087,梁园区凯旋路与民主路交叉口向西200米路北沃尔玛四楼
鱿鱼恋炒清真,13323606511,梁园区民主路沃尔玛三楼电梯口
杨国福麻辣烫(开源路店),13781576878,永城市开源路与芒山路交叉口向东150米路北（义乌商贸城南门东）
脆皮玉米(商丘总店),15225211059,梁园区文化路路北老师范对面
韩香苑韩式烤肉,0370-6990111,梁园区团结路与归德路交叉口向西30米路北
喜虾客?虾火锅(老师院店),0370-2988889,梁园区平原路与文化路交叉口东南角
名代(新师院店),0370-2570016,梁园区团结西路与平原路交叉口东北角
巴豪牛排(金博大店),0370-6071388,永城市欧亚路中段金博大广场4楼
意茉披萨(大润发店),13103706077,梁园区团结路与绿苑路交口向南50米路西（大润发西门，原酒吧一条街）
粥鼎记,0370-7777789,宁陵县永乐北路清水河花园
苏州汤包馆,0370-5072078,睢阳区宇航路与中州路交叉口西200米路北
大脸鸡排(东方超市店),15539001682,民权县治安路与庄周大道交叉口北30米路西
府顺斋烤鸭,0370-2568111,梁园区归德南路189号（乾元招待所旁边）
大拿小面(总店),18137022988,夏邑县一环路重点高中北门向东100米路北
正新鸡排(南大街一店),13781578530,虞城县小学路与人民路交叉口西北角
王婆大虾(新师院店),0370-2229918/15637067918,梁园区团结西路与长征路交叉口西100米
正新鸡排(柘城店),18623875763,柘城县城关镇步行街中原路与民主大街交叉口（文时特专卖隔壁）
爵士牛排自助牛排餐厅,0370-6766008/15660727818,夏邑县孔祖大道南段实验中学往北20米路西
快乐柠檬C 鲜榨果汁(金博大店),18337055616/16637022663,永城市雪枫北路金博大商场二楼
意茉披萨(宁陵店),15503883550,宁陵县新吾路与信陵路交叉口（老十字街）北200米路西（华莱士斜对面）
大拿小面(康复路店),16650689981,夏邑县城关镇康复路中段老党校对面路北
宗鑫蛋糕(中心大街店),0370-6037898,睢县中心大街与睢州大道交叉口往北10米路西（三毛超市对面）
炭舍炭火干锅,0370-3100088,睢阳区神火大道与长江路交叉口北100米路东
1号汉堡,15237030302,梁园区团结路与平原路交叉口向东30米路北
饮悦工坊(大润发店),15896905820,梁园区白云广场归德路大润发负二楼餐饮区
雪莉莎(车站店),0370-5157878,永城市芒砀路与站南路西南角（新城汽车站对面，忠新宾馆隔壁）
张三哥金钱麻辣爆肚,15090617778,睢县中央大街与睢州大道交叉口北80米路西
德庄火锅(建设路店),0370-6686888,夏邑县建设路（孔祖大道）北段东侧与一环路（栗园东路）交叉口处路东
张亮麻辣烫(永兴街东段店),15090538999,永城市永兴路与中原路交叉口向东50米路南
三鼎记快餐(老城店),13353613873,永城市淮海东路与淮海西路交叉口东南50米
德克士(北海店),0370-8111116/8155555,睢县中心大街嘉美超市旁
迪欧咖啡,0370-6682999,夏邑县孔祖大道南段力达邮政储蓄旁边
尼客优品披萨(光明路店),18236357390/18338712103,永城市光明路与芒山路交叉口向西50米路南（永煤体育馆）
娲城王婆大虾(柘城总店),0370-2055596,柘城县春水路柘城中医院西200米路北中华商业街049号
游子老鸭粉丝汤(香君路店),15237038369,睢阳区紫荆路与香君路交叉口西20米路北
张记麻辣烫(老城店),13598310020,永城市牌坊街与劳动街交叉口向东10米路南小广场方向
汉堡先生(帝景北苑店),17838857106/15036686006,睢阳区神火大道与香君路交叉口（帝景北苑东门）
罗宝西饼店(五店),0370-3791555,梁园区归德路与长江路交叉口向北100米路东（安奇华联隔壁）
挚享来牛排,0370-2187666,柘城县北关大街幸福万家北门北30米路西
爱尼诺手感烘焙,0370-7661666,宁陵县老石马向东200米路北
俊熙家韩国紫菜包饭(夏邑店),15565011990,夏邑县人民广场县府西路宏佰商场西门意尔康对面
五谷帝祖渔粉(团结西路店),15637098717,梁园区团结路与桂林路交叉口东30米路南
岁岁羊,0370-5888866,永城市光明路永城大酒店往东150米路南
五谷渔粉(袁山店),17698927315,睢县城关镇袁山路曼哈顿往南200米路西
罗宝西饼店(三店),0370-3791333,梁园区团结路与新建路交叉口向北100米路东
黄记煌三汁焖锅(民主路店),0370-2035588,梁园区民主路沃尔玛4楼(凯旋路口)
如此甜蜜西饼店(一高店店),0370-6983666,睢阳区归德路与宇航路交叉口向南50米路西
早苗蛋糕房(淮海路店),18738031292/13403705433,永城市牌坊街与淮海东路交叉口向东100米路北
名代(北关店),0370-2570012,睢阳区凯旋路市人民医院大门南中国银行对面
华峰园艺术烘焙馆(人民路店),0370-4123786/18637077169,虞城县人民路与小学路交叉口
李想大虾(春水路店),0370-7291588,柘城县春水路与文庙街向东10米路北（汽车总站向西30米）
美佳乐蛋糕(雪枫中路店),15082933521,永城市雪枫中路与永兴街交叉口往南三十米路西（发展广场对面）
老北京绿豆酥(总店),15136605628,梁园区归德路与文化路路口向南300米路东（归德路与工贸路向北200米）
延庆观炸鸡(商丘总店),13233860002,梁园区平原路与团结路交叉口向东200米路北，桂林路北头
比格大脸鸡排(开源路总店),15672876760,永城市演集镇百花路与开源路交叉口西50米路北
胡闯渔粉,18595390737,柘城县华景路与黄山路交叉口向西50米路北
犟骨头(金博大店),17337005387,永城市欧亚路金博大北门
大脸鸡排(万鼎广场店),15538051603,虞城县人民路与019县道交叉口东南150米
汉中米皮,15896922327,睢阳区香君路与紫荆路交叉口东10米路北
嘿店外带寿司(民权店),15136026220/15137042425,民权县民权县人民路与绿洲路交叉口向北200米第一初中北100米路西
福耶炸弹烧?年糕火锅(大润发店),18210508982/15903810500,梁园区归德路白云国际商业广场负二楼（团结路安其乐易对面）
名代蛋糕世界,0370-8580000,民权县人民路与消防路交叉口西100米路北
韩岳拌饭,13141576366,虞城县人民路与小学路交叉口向西60米路南
正新鸡排(桂林路店),13937035150/18937097768,梁园区桂林路与文化路交叉口向北50米路东
俄式西餐,0370-2677577/2586677,睢阳区神火大道与宇航路交叉口向西100米路北
